Iterations	Guesses
354 	 4.6232
355 	 4.6232
356 	 4.6232
357 	 4.6232
358 	 4.6232
359 	 4.6232
360 	 4.6232
361 	 4.6232
362 	 4.6232
363 	 4.6232
364 	 4.6232
365 	 4.6232
366 	 4.6232
367 	 4.6232
368 	 4.6232
369 	 4.6232
370 	 4.6232
371 	 4.6232
372 	 4.6232
373 	 4.6232
374 	 4.6232
375 	 4.6232
376 	 3.9911
377 	 3.9911
378 	 3.9911
379 	 3.9911
380 	 3.9911
381 	 3.9911
382 	 3.9911
383 	 3.9911
384 	 3.9911
385 	 3.9911
386 	 3.9911
387 	 3.9911
388 	 3.9911
389 	 3.9911
390 	 3.9911
391 	 3.9911
392 	 3.9911
393 	 3.9911
394 	 3.9911
395 	 3.9911
396 	 3.9911
397 	 3.9911
398 	 3.9911
399 	 3.9911
400 	 3.9911
401 	 3.9911
402 	 3.9911
403 	 3.9911
404 	 3.9911
405 	 3.9911
406 	 3.9911
407 	 3.9911
408 	 3.9911
409 	 3.9911
410 	 3.9911
411 	 3.9911
412 	 3.9911
413 	 3.9911
414 	 3.9911
415 	 3.9911
416 	 3.9911
417 	 3.9911
418 	 3.9911
419 	 3.9911
420 	 3.9911
421 	 3.9911
422 	 3.9911
423 	 3.9911
424 	 3.9911
425 	 3.9911
426 	 3.9911
427 	 3.9911
428 	 3.9911
429 	 3.9911
430 	 3.9911
431 	 3.9911
432 	 3.9911
433 	 3.9911
434 	 3.9911
435 	 3.9911
436 	 3.9911
437 	 3.9911
438 	 3.9911
439 	 3.9911
440 	 3.9911
441 	 3.9911
442 	 3.9911
443 	 3.9911
444 	 3.9911
445 	 3.9911
446 	 3.9911
447 	 3.9911
448 	 3.9911
449 	 3.9911
450 	 3.9911
451 	 3.9911
452 	 3.9911
453 	 3.9911
454 	 3.9911
455 	 3.9911
456 	 3.9911
457 	 3.9911
458 	 3.9911
459 	 3.9911
460 	 3.9911
461 	 3.9911
462 	 3.9911
463 	 3.9911
464 	 3.9911
465 	 3.9911
466 	 3.9911
467 	 3.9911
468 	 3.9911
469 	 3.9911
470 	 3.9911
471 	 3.9911
472 	 3.9911
473 	 3.9911
474 	 3.9911
475 	 3.9911
476 	 3.9911
477 	 3.9911
478 	 3.9911
479 	 3.9911
480 	 3.9911
481 	 3.9911
482 	 3.9911
483 	 3.9911
484 	 3.9911
485 	 3.9911
486 	 3.9911
487 	 3.9911
488 	 3.9911
489 	 3.9911
490 	 3.9911
491 	 3.9911
492 	 3.9911
493 	 3.9911
494 	 3.9911
495 	 3.9911
496 	 3.9911
497 	 3.9911
498 	 3.9911
499 	 3.9911
500 	 3.9911
501 	 3.9911
502 	 3.9911
503 	 3.9911
504 	 3.9911
505 	 3.9911
506 	 3.9911
507 	 3.9911
508 	 3.9911
509 	 3.9911
510 	 3.9911
511 	 3.9911
512 	 3.9911
513 	 3.9911
514 	 3.9911
515 	 3.9911
516 	 3.9911
517 	 3.9911
518 	 3.9911
519 	 3.9911
520 	 3.9911
521 	 3.9911
522 	 3.9911
523 	 3.9911
524 	 3.9911
525 	 3.9911
526 	 3.9911
527 	 3.9911
528 	 3.9911
529 	 3.9911
530 	 3.9911
531 	 3.9911
532 	 3.9911
533 	 3.9911
534 	 3.9911
535 	 3.9911
536 	 3.9911
537 	 3.9911
538 	 3.9911
539 	 3.9911
540 	 3.9911
541 	 3.9911
542 	 3.9911
543 	 3.9911
544 	 3.9911
545 	 3.9911
546 	 3.9880
547 	 3.9880
548 	 3.9880
549 	 3.9880
550 	 3.9880
551 	 3.9880
552 	 3.7660
553 	 3.7660
554 	 3.7660
555 	 3.7660
556 	 3.7660
557 	 3.7660
558 	 3.7660
559 	 3.7660
560 	 3.7660
561 	 3.7660
562 	 3.7660
563 	 3.7660
564 	 3.7660
565 	 3.7660
566 	 3.7660
567 	 3.7660
568 	 3.7660
569 	 3.7660
570 	 3.7660
571 	 3.7660
572 	 3.7660
573 	 3.7660
574 	 3.7660
575 	 3.7660
576 	 3.7660
577 	 3.7660
578 	 3.7660
579 	 3.7660
580 	 3.7660
581 	 3.7660
582 	 3.7660
583 	 3.7660
584 	 3.7660
585 	 3.7660
586 	 3.7660
587 	 3.6856
588 	 3.6856
589 	 3.6856
590 	 3.6856
591 	 3.6856
592 	 3.6856
593 	 3.6856
594 	 3.6856
595 	 3.6856
596 	 3.6856
597 	 3.6856
598 	 3.6856
599 	 3.6856
600 	 3.6856
601 	 3.6856
602 	 3.6856
603 	 3.6856
604 	 3.6856
605 	 3.6856
606 	 3.6856
607 	 3.6856
608 	 3.6856
609 	 3.6856
610 	 3.6856
611 	 3.6856
612 	 3.6856
613 	 3.6856
614 	 3.6856
615 	 3.6856
616 	 3.6856
617 	 3.6856
618 	 3.6856
619 	 3.6856
620 	 3.6856
621 	 3.6856
622 	 3.6856
623 	 3.6856
624 	 3.6856
625 	 3.6856
626 	 3.6856
627 	 3.6856
628 	 3.6856
629 	 3.6856
630 	 3.6856
631 	 3.6856
632 	 3.6856
633 	 3.6856
634 	 3.6856
635 	 3.6856
636 	 3.6856
637 	 3.6856
638 	 3.6856
639 	 3.6856
640 	 3.6856
641 	 3.6856
642 	 3.6856
643 	 3.6856
644 	 3.6856
645 	 3.6856
646 	 3.6856
647 	 3.6856
648 	 3.6856
649 	 3.6811
650 	 3.6811
651 	 3.6811
652 	 3.6811
653 	 3.6811
654 	 3.6811
655 	 3.6811
656 	 3.6811
657 	 3.6811
658 	 3.6811
659 	 3.6811
660 	 3.6811
661 	 3.6811
662 	 3.6811
663 	 3.6811
664 	 3.6811
665 	 3.6811
666 	 3.6811
667 	 3.6811
668 	 3.6811
669 	 3.6811
670 	 3.6811
671 	 3.6811
672 	 3.6811
673 	 3.6811
674 	 3.6811
675 	 3.6811
676 	 3.6811
677 	 3.6811
678 	 3.6811
679 	 3.6770
680 	 3.6770
681 	 3.6770
682 	 3.6770
683 	 3.6770
684 	 3.6770
685 	 3.6770
686 	 3.6770
687 	 3.6770
688 	 3.6770
689 	 3.6770
690 	 3.6770
691 	 3.6770
692 	 3.6770
693 	 3.6770
694 	 3.6770
695 	 3.6770
696 	 3.6770
697 	 3.6770
698 	 3.6770
699 	 3.6770
700 	 3.6770
701 	 3.6770
702 	 3.6770
703 	 3.6770
704 	 3.6770
705 	 3.6770
706 	 3.6770
707 	 3.6770
708 	 3.6770
709 	 3.6770
710 	 3.6770
711 	 3.6770
712 	 3.6770
713 	 3.6770
714 	 3.6770
715 	 3.6770
716 	 3.6770
717 	 3.6770
718 	 3.6770
719 	 3.6770
720 	 3.6770
721 	 3.6770
722 	 3.6770
723 	 3.6770
724 	 3.6770
725 	 3.6770
726 	 3.6770
727 	 3.6770
728 	 3.6770
729 	 3.6770
730 	 3.6770
731 	 3.6770
732 	 3.6770
733 	 3.6770
734 	 3.6770
735 	 3.6770
736 	 3.6770
737 	 3.6770
738 	 3.6770
739 	 3.6770
740 	 3.6770
741 	 3.6770
742 	 3.6770
743 	 3.6770
744 	 3.6707
745 	 3.6637
746 	 3.6381
747 	 3.6381
748 	 3.6371
749 	 3.6371
750 	 3.6365
751 	 3.6365
752 	 3.6365
753 	 3.6365
754 	 3.6365
755 	 3.6365
756 	 3.6365
757 	 3.6365
758 	 3.6365
