Iterations	Guesses
354 	 3.5541
355 	 3.5541
356 	 3.5541
357 	 3.5541
358 	 3.5541
359 	 3.5541
360 	 3.5541
361 	 3.5541
362 	 3.5541
363 	 3.5541
364 	 3.5541
365 	 3.5541
366 	 3.5541
367 	 3.5541
368 	 3.5541
369 	 3.5541
370 	 3.5541
371 	 3.5541
372 	 3.5541
373 	 3.5541
374 	 3.5541
375 	 3.5541
376 	 3.5541
377 	 3.5541
378 	 3.5541
379 	 3.5541
380 	 3.5538
381 	 3.5538
382 	 3.5538
383 	 3.5538
384 	 3.5538
385 	 3.5538
386 	 3.5538
387 	 3.5538
388 	 3.5538
389 	 3.5538
390 	 3.5538
391 	 3.5538
392 	 3.5538
393 	 3.5538
394 	 3.5538
395 	 3.5538
396 	 3.5538
397 	 3.5538
398 	 3.5538
399 	 3.5538
400 	 3.5538
401 	 3.5538
402 	 3.5538
403 	 3.5538
404 	 3.5538
405 	 3.5538
406 	 3.5538
407 	 3.5538
408 	 3.5538
409 	 3.5538
410 	 3.5538
411 	 3.5538
412 	 3.5538
413 	 3.5538
414 	 3.5538
415 	 3.5538
416 	 3.5538
417 	 3.5538
418 	 3.5538
419 	 3.5538
420 	 3.5538
421 	 3.5538
422 	 3.5538
423 	 3.5538
424 	 3.5538
425 	 3.5538
426 	 3.5538
427 	 3.5538
428 	 3.5538
429 	 3.5538
430 	 3.5538
431 	 3.5538
432 	 3.5538
433 	 3.5538
434 	 3.5538
435 	 3.5538
436 	 3.5538
437 	 3.5538
438 	 3.5538
439 	 3.5538
440 	 3.5538
441 	 3.5538
442 	 3.5538
443 	 3.5538
444 	 3.5538
445 	 3.5538
446 	 3.5538
447 	 3.5538
448 	 3.5538
449 	 3.5538
450 	 3.5538
451 	 3.5538
452 	 3.5538
453 	 3.5538
454 	 3.5538
455 	 3.5538
456 	 3.5538
457 	 3.5538
458 	 3.5538
459 	 3.5538
460 	 3.5538
461 	 3.5538
462 	 3.5538
463 	 3.5538
464 	 3.5538
465 	 3.5538
466 	 3.5538
467 	 3.5538
468 	 3.5538
469 	 3.5538
470 	 3.5538
471 	 3.5538
472 	 3.5538
473 	 3.5538
474 	 3.5538
475 	 3.5538
476 	 3.5538
477 	 3.5538
478 	 3.5538
479 	 3.5538
480 	 3.5538
481 	 3.5538
482 	 3.5538
483 	 3.5538
484 	 3.5538
485 	 3.5538
486 	 3.5538
487 	 3.5538
488 	 3.5538
489 	 3.5538
490 	 3.5538
491 	 3.5538
492 	 3.5538
493 	 3.5538
494 	 3.5538
495 	 3.5538
496 	 3.5538
497 	 3.5538
498 	 3.5538
499 	 3.5538
500 	 3.5538
501 	 3.5538
502 	 3.5538
503 	 3.5538
504 	 3.5538
505 	 3.5538
506 	 3.5538
507 	 3.5538
508 	 3.5538
509 	 3.5538
510 	 3.5538
511 	 3.5538
512 	 3.5538
513 	 3.5538
514 	 3.5538
515 	 3.5538
516 	 3.5538
517 	 3.5538
518 	 3.5538
519 	 3.5538
520 	 3.5538
521 	 3.5538
522 	 3.5538
523 	 3.5538
524 	 3.5538
525 	 3.5538
526 	 3.5538
527 	 3.5538
528 	 3.5538
529 	 3.5538
530 	 3.5538
531 	 3.5538
532 	 3.5538
533 	 3.5538
534 	 3.5538
535 	 3.5538
536 	 3.5538
537 	 3.5538
538 	 3.5538
539 	 3.5538
540 	 3.5538
541 	 3.5538
542 	 3.5538
543 	 3.5538
544 	 3.5538
545 	 3.5538
546 	 3.5538
547 	 3.5538
548 	 3.5538
549 	 3.5538
550 	 3.5538
551 	 3.5538
552 	 3.5538
553 	 3.5538
554 	 3.5538
555 	 3.5538
556 	 3.5538
557 	 3.5538
558 	 3.5538
559 	 3.5538
560 	 3.5538
561 	 3.5538
562 	 3.5538
563 	 3.5538
564 	 3.5538
565 	 3.5538
566 	 3.5538
567 	 3.5538
568 	 3.5538
569 	 3.5538
570 	 3.5538
571 	 3.5538
572 	 3.5538
573 	 3.5538
574 	 3.5538
575 	 3.5538
576 	 3.5538
577 	 3.5538
578 	 3.5538
579 	 3.5538
580 	 3.5538
581 	 3.5538
582 	 3.5538
583 	 3.5538
584 	 3.5538
585 	 3.5538
586 	 3.5538
587 	 3.5538
588 	 3.5538
589 	 3.5538
590 	 3.5538
591 	 3.5538
592 	 3.5538
593 	 3.5538
594 	 3.5538
595 	 3.5538
596 	 3.5538
597 	 3.5538
598 	 3.5538
599 	 3.5538
600 	 3.5538
601 	 3.5538
602 	 3.5538
603 	 3.5538
604 	 3.5538
605 	 3.5538
606 	 3.5538
607 	 3.5538
608 	 3.5538
609 	 3.5538
610 	 3.5538
611 	 3.5538
612 	 3.5538
613 	 3.5538
614 	 3.5538
615 	 3.5538
616 	 3.5538
617 	 3.5538
618 	 3.5538
619 	 3.5538
620 	 3.5538
621 	 3.5538
622 	 3.5538
623 	 3.5538
624 	 3.5538
625 	 3.5538
626 	 3.5538
627 	 3.5538
628 	 3.5538
629 	 3.5538
630 	 3.5538
631 	 3.5538
632 	 3.5538
633 	 3.5538
634 	 3.5538
635 	 3.5538
636 	 3.5538
637 	 3.5538
638 	 3.5538
639 	 3.5538
640 	 3.5538
641 	 3.5538
642 	 3.5538
643 	 3.5538
644 	 3.5538
645 	 3.5538
646 	 3.5538
647 	 3.5538
648 	 3.5538
649 	 3.5538
650 	 3.5538
651 	 3.5538
652 	 3.5538
653 	 3.5538
654 	 3.5538
655 	 3.5538
656 	 3.5538
657 	 3.5538
658 	 3.5538
659 	 3.5538
660 	 3.5538
661 	 3.5538
662 	 3.5538
663 	 3.5538
664 	 3.5538
665 	 3.5538
666 	 3.5538
667 	 3.5538
668 	 3.5538
669 	 3.5538
670 	 3.5538
671 	 3.5538
672 	 3.5538
673 	 3.5538
674 	 3.5538
675 	 3.5538
676 	 3.5538
677 	 3.5538
678 	 3.5538
679 	 3.5538
680 	 3.5538
681 	 3.5538
682 	 3.5538
683 	 3.5538
684 	 3.5538
685 	 3.5538
686 	 3.5538
687 	 3.5538
688 	 3.5538
689 	 3.5538
690 	 3.5538
691 	 3.5538
692 	 3.5538
693 	 3.5538
694 	 3.5538
695 	 3.5538
696 	 3.5538
697 	 3.5538
698 	 3.5538
699 	 3.5538
700 	 3.5538
701 	 3.5538
702 	 3.5538
703 	 3.5538
704 	 3.5538
705 	 3.5538
706 	 3.5538
707 	 3.5538
708 	 3.5538
709 	 3.5538
710 	 3.5538
711 	 3.5538
712 	 3.5538
713 	 3.5538
714 	 3.5538
715 	 3.5538
716 	 3.5538
717 	 3.5538
718 	 3.5538
719 	 3.5538
720 	 3.5538
721 	 3.5538
722 	 3.5538
723 	 3.5538
724 	 3.5538
725 	 3.5538
726 	 3.5538
727 	 3.5538
728 	 3.5538
729 	 3.5538
730 	 3.5538
731 	 3.5538
732 	 3.5538
733 	 3.5538
734 	 3.5538
735 	 3.5538
736 	 3.5538
737 	 3.5538
738 	 3.5538
739 	 3.5538
740 	 3.5538
741 	 3.5538
742 	 3.5538
743 	 3.5538
744 	 3.5538
745 	 3.5538
746 	 3.5538
747 	 3.5538
748 	 3.5538
749 	 3.5538
750 	 3.5538
751 	 3.5538
752 	 3.5538
753 	 3.5538
754 	 3.5538
755 	 3.5538
756 	 3.5538
757 	 3.5538
758 	 3.5538
759 	 3.5538
760 	 3.5538
761 	 3.5538
762 	 3.5538
763 	 3.5538
764 	 3.5538
765 	 3.5538
766 	 3.5538
767 	 3.5538
768 	 3.5538
769 	 3.5538
770 	 3.5538
771 	 3.5538
772 	 3.5538
773 	 3.5538
774 	 3.5538
775 	 3.5538
776 	 3.5538
777 	 3.5538
778 	 3.5538
779 	 3.5538
780 	 3.5538
781 	 3.5538
782 	 3.5538
783 	 3.5538
784 	 3.5538
785 	 3.5538
786 	 3.5538
787 	 3.5538
788 	 3.5538
789 	 3.5538
790 	 3.5538
791 	 3.5538
792 	 3.5538
793 	 3.5538
794 	 3.5538
795 	 3.5538
796 	 3.5538
797 	 3.5538
798 	 3.5538
799 	 3.5538
800 	 3.5538
801 	 3.5538
802 	 3.5538
803 	 3.5538
804 	 3.5538
805 	 3.5538
806 	 3.5538
807 	 3.5538
808 	 3.5538
809 	 3.5538
810 	 3.5538
811 	 3.5538
812 	 3.5538
813 	 3.5538
814 	 3.5538
815 	 3.5538
816 	 3.5538
817 	 3.5538
818 	 3.5538
819 	 3.5538
820 	 3.5538
821 	 3.5538
822 	 3.5538
823 	 3.5538
824 	 3.5538
825 	 3.5538
826 	 3.5538
827 	 3.5538
828 	 3.5538
829 	 3.5538
830 	 3.5538
831 	 3.5538
832 	 3.5538
833 	 3.5538
834 	 3.5535
835 	 3.5535
836 	 3.5535
837 	 3.5535
838 	 3.5535
839 	 3.5535
840 	 3.5535
841 	 3.5535
842 	 3.5535
843 	 3.5535
844 	 3.5535
845 	 3.5535
846 	 3.5535
847 	 3.5535
848 	 3.5535
849 	 3.5535
850 	 3.5535
851 	 3.5535
852 	 3.5535
853 	 3.5535
854 	 3.5535
855 	 3.5535
856 	 3.5535
857 	 3.5535
858 	 3.5535
859 	 3.5535
860 	 3.5535
861 	 3.5535
862 	 3.5535
863 	 3.5535
864 	 3.5535
865 	 3.5535
866 	 3.5535
867 	 3.5535
868 	 3.5535
869 	 3.5535
870 	 3.5535
871 	 3.5535
872 	 3.5535
873 	 3.5535
874 	 3.5535
875 	 3.5535
876 	 3.5535
877 	 3.5535
878 	 3.5535
879 	 3.5535
880 	 3.5535
881 	 3.5535
882 	 3.5535
883 	 3.5535
884 	 3.5535
885 	 3.5535
886 	 3.5535
887 	 3.5535
888 	 3.5535
889 	 3.5535
890 	 3.5535
891 	 3.5535
892 	 3.5535
893 	 3.5535
894 	 3.5535
895 	 3.5535
896 	 3.5535
897 	 3.5535
898 	 3.5535
899 	 3.5535
900 	 3.5535
901 	 3.5535
902 	 3.5535
903 	 3.5535
904 	 3.5535
905 	 3.5535
906 	 3.5535
907 	 3.5535
908 	 3.5535
909 	 3.5535
910 	 3.5535
911 	 3.5535
912 	 3.5535
913 	 3.5535
914 	 3.5535
915 	 3.5535
916 	 3.5535
917 	 3.5535
918 	 3.5535
919 	 3.5535
920 	 3.5535
921 	 3.5535
922 	 3.5535
923 	 3.5535
924 	 3.5535
925 	 3.5535
926 	 3.5535
927 	 3.5535
928 	 3.5535
929 	 3.5535
930 	 3.5535
931 	 3.5535
932 	 3.5535
933 	 3.5535
934 	 3.5535
935 	 3.5535
936 	 3.5535
937 	 3.5535
938 	 3.5535
939 	 3.5535
940 	 3.5535
941 	 3.5535
942 	 3.5535
943 	 3.5535
944 	 3.5535
945 	 3.5535
