Iterations	Guesses
354 	 3.6343
355 	 3.6343
356 	 3.6343
357 	 3.6343
358 	 3.6343
359 	 3.6343
360 	 3.6343
361 	 3.6343
362 	 3.6343
363 	 3.6343
364 	 3.6343
365 	 3.6343
366 	 3.6343
367 	 3.6343
368 	 3.6343
369 	 3.6343
370 	 3.6343
371 	 3.6343
372 	 3.6343
373 	 3.6343
374 	 3.6343
375 	 3.6343
376 	 3.6343
377 	 3.6343
378 	 3.6343
379 	 3.6343
380 	 3.6343
381 	 3.6343
382 	 3.6343
383 	 3.6343
384 	 3.6343
385 	 3.6343
386 	 3.6343
387 	 3.6343
388 	 3.6343
389 	 3.6343
390 	 3.6343
391 	 3.6343
392 	 3.6343
393 	 3.6343
394 	 3.6343
395 	 3.6343
396 	 3.6343
397 	 3.6343
398 	 3.6343
399 	 3.6286
400 	 3.6286
401 	 3.6286
402 	 3.6105
403 	 3.6105
404 	 3.6105
405 	 3.6092
406 	 3.6092
407 	 3.6092
408 	 3.6092
409 	 3.6092
410 	 3.6092
411 	 3.6092
412 	 3.6092
413 	 3.6092
414 	 3.6092
415 	 3.6092
416 	 3.6092
417 	 3.6092
418 	 3.6092
419 	 3.6092
420 	 3.6092
421 	 3.6092
422 	 3.6092
423 	 3.6092
424 	 3.6092
425 	 3.6092
426 	 3.6092
427 	 3.6092
428 	 3.6092
429 	 3.6092
430 	 3.6092
431 	 3.6092
432 	 3.6092
433 	 3.6092
434 	 3.5925
435 	 3.5925
436 	 3.5925
437 	 3.5925
438 	 3.5925
439 	 3.5925
440 	 3.5925
441 	 3.5925
442 	 3.5925
443 	 3.5918
444 	 3.5918
445 	 3.5918
446 	 3.5918
447 	 3.5918
448 	 3.5918
449 	 3.5918
450 	 3.5918
451 	 3.5918
452 	 3.5918
453 	 3.5918
454 	 3.5918
455 	 3.5918
456 	 3.5918
457 	 3.5918
458 	 3.5918
459 	 3.5918
460 	 3.5918
461 	 3.5918
462 	 3.5918
463 	 3.5918
464 	 3.5899
465 	 3.5899
466 	 3.5899
467 	 3.5899
468 	 3.5899
469 	 3.5899
470 	 3.5899
471 	 3.5899
472 	 3.5845
473 	 3.5845
474 	 3.5845
475 	 3.5845
476 	 3.5845
477 	 3.5845
478 	 3.5845
479 	 3.5845
480 	 3.5845
481 	 3.5845
482 	 3.5845
483 	 3.5845
484 	 3.5845
485 	 3.5845
486 	 3.5845
487 	 3.5845
488 	 3.5845
489 	 3.5845
490 	 3.5845
491 	 3.5845
492 	 3.5845
493 	 3.5845
494 	 3.5845
495 	 3.5845
496 	 3.5845
497 	 3.5845
498 	 3.5845
499 	 3.5845
500 	 3.5845
501 	 3.5845
502 	 3.5823
503 	 3.5823
504 	 3.5823
505 	 3.5823
506 	 3.5823
507 	 3.5823
508 	 3.5820
